,OBJECTID,ID,T_PUNTO,COD_SGC,CONSECUTIV,DEPTO_LOC,MUN_LOC,VER_LOC,SITIO_LOC,E_PTO,N_PTO,Z_PTO,MET_COTA,U_GEOL,COND_SECO,COND_HUM,LONGITUD,LATITUD
289,468,515,Aljibe,108-IV-C-61,61,SANTANDER,Barrancabermeja,Zapatero,Finca Las Mercedes,1030350.0,1281483.0,87.229555,DEM,N1r,38.72,0.0,-73.80275284762413,7.1414935676774265
290,469,516,Pozo,108-IV-C-62,62,SANTANDER,Barrancabermeja,Zapatero,Finca La Fortuna,1030808.0,1281609.0,86.0,DEM,N1r,191.5,0.0,-73.79860596903495,7.142630395214181
291,470,517,Aljibe,108-IV-C-63,63,SANTANDER,Barrancabermeja,Zapatero,Finca La Fortuna,1030878.0,1281436.0,86.007416,DEM,N1r,165.2,0.0,-73.79797322067336,7.141065714054366
292,471,518,Aljibe,108-IV-C-64,64,SANTANDER,Barrancabermeja,,,1030115.0,1281790.0,93.800353,DEM,N1r,56.71,0.0,-73.80487861482412,7.144270781192325
293,472,519,Aljibe,108-IV-C-65,65,SANTANDER,Barrancabermeja,Zapatero,Finca El Porvenir,1030129.0,1282413.0,80.983627,DEM,N1r,101.5,0.0,-73.8047485341138,7.14990398809626
294,473,520,Aljibe,108-IV-C-66,66,SANTANDER,Barrancabermeja,Penjamo,Finca La Lola,1030027.0,1282611.0,88.421011,DEM,N1r,69.46,0.0,-73.80567087960857,7.151694886327724
295,474,521,Aljibe,119-II-A-23,23,SANTANDER,Barrancabermeja,Cienaga Brava,Finca Los Ciruelos,1033210.0,1279141.0,71.184327,DEM,Qal,54.03,0.0,-73.77687563779483,7.120300661653797
296,475,522,Pozo,119-II-A-24,24,SANTANDER,Barrancabermeja,Cienaga Brava,,1033157.0,1279866.0,85.977228,DEM,Qal,209.8,0.0,-73.77735115012001,7.126856548779715
297,476,523,Aljibe,119-II-A-25,25,SANTANDER,Barrancabermeja,Cienaga Brava,,1033153.0,1279844.0,86.20469,DEM,Qal,139.6,0.0,-73.77738748957114,7.126657644499159
298,477,524,Aljibe,119-I-B-4,4,SANTANDER,Barrancabermeja,Cienaga Brava,Finca las Delicias,1028174.0,1278981.0,95.979713,DEM,N1r,36.87,0.0,-73.82246430271952,7.11888127911011
299,478,525,Aljibe,119-I-B-5,5,SANTANDER,Barrancabermeja,Penjamo,Campamento Mi Refugio,1027945.0,1279705.0,106.022288,DEM,N1r,41.19,0.0,-73.82453371123702,7.125428976862007
300,479,526,Aljibe,108-III-D-64,64,SANTANDER,Barrancabermeja,Penjamo,Finca La Manguita,1028356.0,1280497.0,104.50122,DEM,N1r,36.84,0.0,-73.82080914178391,7.132588352725284
301,480,283,Pozo,109-I-C- 2,2,Santander,Sabana de Torres,,El estadio,1064107.0,1309320.0,136.954224,DEM,N1r,0.0,136.5,-73.49683940959756,7.392906280525817
302,481,284,Pozo,108-II-B-4,4,Santander,Sabana de Torres,Km 80,,1047273.0,1319041.0,77.21834,DEM,Qal,0.0,35.31,-73.64922983402023,7.480975211793689
303,482,285,Aljibe,108-II-B-5,5,Santander,Sabana de Torres,La Flecha,Finca villa Julia,1047614.0,1318578.0,72.409638,DEM,Qal,0.0,85.24,-73.64614465438676,7.4767858013096395
304,483,286,Pozo,108-II-B-6,6,Santander,Sabana de Torres,La Flecha,,1048905.0,1318609.0,72.394143,DEM,Qal,0.0,104.9,-73.63444867805543,7.477054508730713
305,484,287,Aljibe,108-II-B-7,7,Santander,Sabana de Torres,Km 80,Los Almendros,1048366.0,1318000.0,71.617277,DEM,Qal,0.0,77.88,-73.63933718758871,7.471552873696131
306,485,288,Pozo,96-IV-C-1,1,Santander,Sabana de Torres,Km 80,Pozo (Perforado Estadio),1044207.0,1320035.0,76.0,DEM,Qal,0.0,101.2,-73.67699812208215,7.4899889967222135
