LINE_ID,X,Y,Z,Tipo,NombreFall
1,-73.396058494,8.290904573,1266.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.395305725,8.2867379063,1243.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.395198519,8.286144508,1243.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.394596519,8.2819778413,1258.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.39399452,8.2778111747,1278.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.393808601,8.27652436,1278.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.392868629,8.2723576933,1290.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.392028643,8.268634241,1345.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.391548646,8.267234217,1242.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.391088646,8.266024195,1265.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.390598642,8.264914174,1265.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.390118636,8.26361415,1265.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.389668634,8.262604129,1265.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.389628641,8.262524134,1265.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.389158634,8.261414113,1301.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.388638635,8.260434096,1301.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.388088632,8.25909407,1301.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.387628632,8.257654044,1305.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.387168632,8.256394022,1230.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.386538634,8.255014003,1230.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.386188633,8.253753981,1254.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.386038641,8.253023965,1254.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.38557864,8.251393936,1254.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.385278648,8.250423926,1254.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.385008659,8.2489839,1280.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.384808668,8.247753882,1280.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.384458666,8.246533862,1280.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.384208674,8.245533848,1341.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.383938676,8.244373827,1341.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.383738684,8.243413815,1341.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.383598691,8.242453804,1341.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.383578694,8.241943794,1341.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.382528698,8.239283748,1302.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.381408706,8.235723688,1334.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.380528716,8.232813641,1359.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.379111314,8.2286469743,1379.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.379038717,8.228433563,1379.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.377828722,8.22504351,1379.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.376318717,8.22144344,1381.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.375458715,8.219143402,1415.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.374368708,8.216753363,1349.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.373318712,8.214143317,1316.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.372608702,8.212743283,1316.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.371938702,8.211093258,1352.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.370758702,8.207783199,1335.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.369528702,8.204853147,1335.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.368848695,8.203273118,1364.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.368388704,8.201373091,1364.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.367388708,8.198503046,1433.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.366228705,8.195492989,1429.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.365818705,8.194582977,1429.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.365268711,8.192712945,1429.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.364638714,8.190702911,1463.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.364018723,8.188502874,1463.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.363308722,8.186392839,1524.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.362308726,8.183782793,1427.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.361908725,8.18273277,1437.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.361758733,8.182062762,1437.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.361428728,8.181082745,1437.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.360608728,8.179002714,1485.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.35966873,8.17689267,1485.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.359078726,8.175552644,1485.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.358128722,8.173312605,1456.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.357478719,8.171932577,1456.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.356968718,8.170652559,1474.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.356608709,8.169792548,1474.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.355958697,8.169112532,1474.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.354998677,8.168442506,1474.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.354368661,8.16781249,1474.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.353778657,8.167102471,1469.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.35350865,8.166202458,1486.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.353318665,8.165052444,1486.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.353048668,8.164112428,1486.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.352708664,8.16314241,1486.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.352398674,8.161892395,1550.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.351678674,8.160232362,1550.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.350268652,8.157762319,1632.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.348978635,8.155572271,1561.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.347698625,8.153312226,1596.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.346808629,8.151012189,1596.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.346118624,8.149422162,1668.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.345188616,8.147412119,1594.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.344228604,8.145482088,1656.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.343158603,8.143332042,1656.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.342488594,8.142122021,1656.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.342318588,8.141802014,1656.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.342028594,8.140882004,1685.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.341628583,8.140541992,1639.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.340878571,8.139811967,1639.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.340108553,8.138911954,1639.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.339288544,8.137641925,1639.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.338538531,8.1362419,1715.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.337618522,8.13477187,1715.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.336598512,8.132891831,1689.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.336038511,8.131401805,1689.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.335288508,8.129941782,1689.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.334278496,8.12797174,1737.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.333318484,8.126491712,1697.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.332768482,8.125571693,1697.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.332568481,8.124811683,1727.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.332538495,8.123641663,1727.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.332438495,8.123071655,1727.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.3321485,8.122301646,1727.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.331428492,8.121001622,1727.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.330908493,8.119811597,1808.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.330298492,8.117651562,1808.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.329868504,8.116151537,1843.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
1,-73.329318493,8.115041516,1843.0,Falla de rumbo sinestral cubierta,Falla de Algarrobo
2,-73.572901551,8.514429715,408.0,Falla,
2,-73.573362243,8.5185963817,433.0,Falla,
2,-73.573591493,8.520669808,433.0,Falla,
2,-73.574260175,8.5248364747,394.0,Falla,
2,-73.574371455,8.525529882,354.0,Falla,
2,-73.575055491,8.5296965487,354.0,Falla,
2,-73.575141419,8.530219959,354.0,Falla,
2,-73.575871417,8.532669998,354.0,Falla,
2,-73.575971417,8.532800002,354.0,Falla,
2,-73.576643622,8.5369666687,302.0,Falla,
3,-73.335996955,7.445873535,232.0,Falla,Falla de Lebrija
3,-73.333492111,7.4417068683,187.0,Falla,Falla de Lebrija
3,-73.332906921,7.440733438,230.0,Falla,Falla de Lebrija
3,-73.332466944,7.437543404,230.0,Falla,Falla de Lebrija
3,-73.332026967,7.434433355,238.0,Falla,Falla de Lebrija
3,-73.331416975,7.431913321,233.0,Falla,Falla de Lebrija
3,-73.330806974,7.430423294,233.0,Falla,Falla de Lebrija
3,-73.330436967,7.429513283,233.0,Falla,Falla de Lebrija
3,-73.329556969,7.427253247,180.0,Falla,Falla de Lebrija
3,-73.328616963,7.425093212,219.0,Falla,Falla de Lebrija
3,-73.327476947,7.423113173,253.0,Falla,Falla de Lebrija
3,-73.327106948,7.422473159,253.0,Falla,Falla de Lebrija
3,-73.326456936,7.421213137,253.0,Falla,Falla de Lebrija
3,-73.325946936,7.420223122,350.0,Falla,Falla de Lebrija
3,-73.32572693,7.419803114,350.0,Falla,Falla de Lebrija
3,-73.324026904,7.417123062,424.0,Falla,Falla de Lebrija
3,-73.323726902,7.416563053,401.0,Falla,Falla de Lebrija
3,-73.323666904,7.416453054,401.0,Falla,Falla de Lebrija
3,-73.322306891,7.413913005,401.0,Falla,Falla de Lebrija
3,-73.321396897,7.410592957,453.0,Falla,Falla de Lebrija
3,-73.320176895,7.407402905,500.0,Falla,Falla de Lebrija
3,-73.319876903,7.406052881,500.0,Falla,Falla de Lebrija
3,-73.31957691,7.404702866,500.0,Falla,Falla de Lebrija
4,-73.420045408,8.592678788,1496.0,Falla,
4,-73.420135374,8.595978839,1355.0,Falla,
4,-73.420135347,8.597648861,1355.0,Falla,
4,-73.420145318,8.600428895,1269.0,Falla,
4,-73.42050046,8.6045955617,1201.0,Falla,
5,-73.258101908,7.649774989,510.0,Falla de rumbo sinestral,Falla de Bucaramanga
5,-73.258760436,7.6456083223,514.0,Falla de rumbo sinestral,Falla de Bucaramanga
5,-73.259418964,7.6414416557,454.0,Falla de rumbo sinestral,Falla de Bucaramanga
5,-73.259932108,7.638194869,454.0,Falla de rumbo sinestral,Falla de Bucaramanga
5,-73.261049338,7.6340282023,469.0,Falla de rumbo sinestral,Falla de Bucaramanga
5,-73.262152286,7.629914801,434.0,Falla de rumbo sinestral,Falla de Bucaramanga
5,-73.265037039,7.6257481343,535.0,Falla de rumbo sinestral,Falla de Bucaramanga
