LINE_ID,ID,DIST,DIST_SURF,X,Y,Z
"111","4054",0.0882146030,515.0000174700,-73.9839376470,8.3391125910,328.0000000000
"111","4055",0.0930990752,578.0000176600,-73.9864865600,8.3349459243,265.0000000000
"111","4056",0.0958227049,630.0000177300,-73.9879078590,8.3326225500,213.0000000000
"111","4057",0.1007077555,725.0000178500,-73.9904578800,8.3284558833,308.0000000000
"111","4058",0.1011103048,725.0004204000,-73.9906680130,8.3281125320,308.0000000000
"111","4059",0.1059755988,793.0004205800,-73.9931799790,8.3239458653,376.0000000000
"111","4060",0.1108408929,906.0004206800,-73.9956919460,8.3197791987,489.0000000000
"111","4061",0.1150757277,939.0004209500,-73.9978784040,8.3161524610,456.0000000000
"111","4062",0.1201289192,1013.0004211000,-74.0007373610,8.3119857943,530.0000000000
"111","4063",0.1251821107,1151.0004212000,-74.0035963170,8.3078191277,668.0000000000
"112","4064",0.0000000000,0.0000000000,-73.0965510340,8.8740582990,557.0000000000
"112","4065",0.0027285948,0.0027285948,-73.0976210990,8.8715482810,557.0000000000
"112","4066",0.0073315943,59.0027287740,-73.0995772420,8.8673816143,498.0000000000
"112","4067",0.0101413172,142.0027288200,-73.1007712930,8.8648382340,415.0000000000
"112","4068",0.0145945407,241.0027289200,-73.1023429450,8.8606715673,514.0000000000
"112","4069",0.0190477642,355.0027290100,-73.1039145960,8.8565049007,628.0000000000
"112","4070",0.0199741180,490.0027290100,-73.1042415290,8.8556381560,763.0000000000
"112","4071",0.0253641752,583.0027291700,-73.1076608280,8.8514714893,856.0000000000
"112","4072",0.0282662065,756.0027291900,-73.1095017940,8.8492281370,1029.0000000000
"112","4073",0.0333990265,881.0027293000,-73.1124992480,8.8450614703,904.0000000000
"112","4074",0.0359038660,1075.0027293000,-73.1139620190,8.8430281180,1098.0000000000
"112","4075",0.0410127176,1153.0027295000,-73.1169182420,8.8388614513,1020.0000000000
"112","4076",0.0449772282,1361.0027295000,-73.1192122950,8.8356280840,812.0000000000
"112","4077",0.0500753343,1593.0027296000,-73.1221499090,8.8314614173,1044.0000000000
"112","4078",0.0530648870,1710.0027296000,-73.1238725390,8.8290180650,927.0000000000
"112","4079",0.0582081203,1767.0027298000,-73.1268877900,8.8248513983,984.0000000000
"113","4080",0.0000000000,0.0000000000,-73.0983279920,8.3475415100,618.0000000000
"113","4081",0.0034901271,25.0000002440,-73.1004380270,8.3503215710,593.0000000000
"113","4082",0.0058139861,25.0023241030,-73.1016380410,8.3523116180,593.0000000000
"113","4083",0.0070325270,25.0035426440,-73.1021180380,8.3534316380,593.0000000000
"113","4084",0.0074986876,25.0040088040,-73.1022980420,8.3538616430,593.0000000000
"113","4085",0.0100131853,107.0040088400,-73.1031380390,8.3562316860,675.0000000000
"113","4086",0.0127480717,204.0040088800,-73.1038880240,8.3588617290,578.0000000000
"113","4087",0.0134200934,228.0040088900,-73.1042880350,8.3594017330,602.0000000000
"113","4088",0.0151025300,228.0056913300,-73.1043780100,8.3610817620,602.0000000000
"113","4089",0.0162054501,228.0067942500,-73.1042979980,8.3621817760,602.0000000000
"113","4090",0.0182619335,345.0067942700,-73.1048879930,8.3641518090,719.0000000000
"113","4091",0.0185435318,345.0070758600,-73.1049679880,8.3644218060,719.0000000000
"113","4092",0.0216208638,393.0070759600,-73.1056079750,8.3674318540,767.0000000000
"113","4093",0.0243390239,393.0097941200,-73.1058179470,8.3701418920,767.0000000000
"113","4094",0.0264096523,413.0097942300,-73.1057679200,8.3722119160,747.0000000000
"113","4095",0.0271613297,413.0105459100,-73.1057179110,8.3729619280,747.0000000000
"113","4096",0.0280433819,413.0114279600,-73.1056578940,8.3738419360,747.0000000000
"113","4097",0.0286521595,413.0120367400,-73.1055078760,8.3744319400,747.0000000000
"113","4098",0.0291687950,413.0125533700,-73.1053778710,8.3749319510,747.0000000000
"113","4099",0.0298794370,495.0125533800,-73.1052078560,8.3756219560,829.0000000000
"113","4100",0.0323020717,495.0149760100,-73.1044778040,8.3779319740,829.0000000000
"113","4101",0.0341187523,526.0149760600,-73.1034677480,8.3794419790,860.0000000000
"113","4102",0.0371143020,526.0179716100,-73.1014676490,8.3816719840,860.0000000000
"113","4103",0.0395003468,705.0179716300,-73.1000375850,8.3835819910,1039.0000000000
"113","4104",0.0420368647,787.0179716700,-73.0988475140,8.3858220030,957.0000000000
"113","4105",0.0453129568,828.0179718000,-73.0979474390,8.3889720260,998.0000000000
"113","4106",0.0467531135,828.0194119600,-73.0979674260,8.3904120440,998.0000000000
"113","4107",0.0486734770,897.0194119800,-73.0983074110,8.3923020720,929.0000000000
"113","4108",0.0506877101,897.0214262200,-73.0984373890,8.3943121070,929.0000000000
"113","4109",0.0516877231,897.0224262300,-73.0984373800,8.3953121200,929.0000000000
"113","4110",0.0522746662,931.0224262300,-73.0982973680,8.3958821190,895.0000000000
"113","4111",0.0534174036,931.0235689700,-73.0981273440,8.3970121370,895.0000000000
"114","4112",0.0000000000,0.0000000000,-73.2467902680,8.5433659140,485.0000000000
"114","4113",0.0043116353,27.0000003440,-73.2478989100,8.5391992473,458.0000000000
"114","4114",0.0045117324,27.0002004410,-73.2479503610,8.5390058780,458.0000000000
"114","4115",0.0059053406,27.0015940500,-73.2478503790,8.5376158610,458.0000000000
"114","4116",0.0071593523,85.0015940630,-73.2475603850,8.5363958410,400.0000000000
"114","4117",0.0083302289,85.0027649400,-73.2473403870,8.5352458180,400.0000000000
"115","4118",0.0000000000,0.0000000000,-73.3691920040,8.7233698630,1339.0000000000
"115","4119",0.0041057934,0.0041057934,-73.3707220060,8.7271799330,1339.0000000000
"115","4120",0.0066994063,90.0041058310,-73.3720120140,8.7294299790,1429.0000000000
"115","4121",0.0081383600,90.0055447850,-73.3727420300,8.7306700050,1429.0000000000
"115","4122",0.0088816103,90.0062880350,-73.3730420310,8.7313500200,1429.0000000000
"115","4123",0.0101462620,90.0075526870,-73.3735220280,8.7325200400,1429.0000000000
"115","4124",0.0117562658,128.0075527200,-73.3742420360,8.7339600750,1467.0000000000
"115","4125",0.0131798736,128.0089763300,-73.3749920400,8.7351700970,1467.0000000000
"115","4126",0.0162999540,193.0089764000,-73.3768720700,8.7376601550,1532.0000000000
"116","4127",0.0000000000,0.0000000000,-73.2948811090,8.6019673050,833.0000000000
"116","4128",0.0041667718,80.0000001090,-73.2948515050,8.6061339717,913.0000000000
"116","4129",0.0056402154,80.0014735520,-73.2948410360,8.6076073780,913.0000000000
"116","4130",0.0098071075,164.0014736600,-73.2947976860,8.6117740447,997.0000000000
"116","4131",0.0133407301,293.0014737000,-73.2947609240,8.6153074760,1126.0000000000
"116","4132",0.0175076060,518.0014737400,-73.2948026780,8.6194741427,1351.0000000000
"116","4133",0.0193211063,702.0014737500,-73.2948208500,8.6212875520,1535.0000000000
"116","4134",0.0214487651,702.0036014100,-73.2950008280,8.6234075850,1535.0000000000
"116","4135",0.0226529378,702.0048055800,-73.2951008190,8.6246075990,1535.0000000000
"116","4136",0.0248935598,716.0048057600,-73.2960908260,8.6266176420,1521.0000000000
"116","4137",0.0285663041,716.0084785100,-73.2988708870,8.6290177070,1521.0000000000
"116","4138",0.0303227557,812.0084785200,-73.2998008950,8.6305077430,1425.0000000000
