,LINE_ID,X,Y,Z,Compañia,Estado,INFO,Campo
80,1,-73.907543749,7.0244709341,72.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
81,1,-73.909461489,7.0203042675,70.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
82,1,-73.911379229,7.0161376008,69.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
83,1,-73.91329697,7.0119709341,69.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
84,1,-73.914748798,7.0088165515,69.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
85,1,-73.918915465,7.0076886769,73.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
86,1,-73.922592229,7.0066934139,74.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
87,1,-73.926758896,7.0082840039,77.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
88,1,-73.930925563,7.0098745938,79.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
89,1,-73.931861739,7.0102319712,79.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
90,1,-73.936028405,7.0117357914,75.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
91,1,-73.93970517,7.0130627976,71.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
92,1,-73.939323523,7.0172294643,72.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
93,1,-73.93899213,7.0208474817,72.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
94,1,-73.936782452,7.0250141484,70.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
95,1,-73.934572774,7.029180815,70.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
96,1,-73.932363096,7.0333474817,71.0,ECOPETROLS.A.,PRODUCCIÓN,"MODELO HIDROGEO, PMA, ICA,HIDROQUIMICA,IAA,CARTO",CASABE
