OBJECTID;TOPE_CHORROS_WGS84_tif;X;Y;TOPE_CHORROS_WGS84_Band_1
135;-2198;-73,701019800312750;7,840849336690859;-2198,5524902
136;-2290;-73,691315584039657;7,840849336690859;-2290,0610352
137;-2360;-73,681611367766564;7,840849336690859;-2360,0405273
138;-2408;-73,671907151493471;7,840849336690859;-2408,6530762
139;-2453;-73,662202935220378;7,840849336690859;-2453,7673340
140;-2505;-73,652498718947285;7,840849336690859;-2505,1933594
141;-2565;-73,642794502674192;7,840849336690859;-2565,7888184
142;-2590;-73,633090286401099;7,840849336690859;-2590,3757324
143;-2601;-73,623386070128007;7,840849336690859;-2601,2058105
144;-2605;-73,613681853854914;7,840849336690859;-2605,5476074
145;-2608;-73,603977637581821;7,840849336690859;-2608,1274414
146;-1361;-73,817470395589879;7,831145120417765;-1361,1840820
147;-1413;-73,807766179316786;7,831145120417765;-1413,9887695
148;-1475;-73,798061963043693;7,831145120417765;-1475,8801270
149;-1547;-73,788357746770600;7,831145120417765;-1547,5120850
150;-1629;-73,778653530497493;7,831145120417765;-1629,7568359
151;-1717;-73,768949314224400;7,831145120417765;-1717,7084961
152;-1807;-73,759245097951307;7,831145120417765;-1807,2071533
153;-1894;-73,749540881678215;7,831145120417765;-1894,7059326
154;-1977;-73,739836665405122;7,831145120417765;-1977,8311768
155;-2056;-73,730132449132029;7,831145120417765;-2056,1484375
156;-2131;-73,720428232858936;7,831145120417765;-2131,8906250
157;-2204;-73,710724016585843;7,831145120417765;-2204,3273926
158;-2254;-73,701019800312750;7,831145120417765;-2254,2817383
159;-2323;-73,691315584039657;7,831145120417765;-2323,9506836
160;-2377;-73,681611367766564;7,831145120417765;-2377,0156250
161;-2411;-73,671907151493471;7,831145120417765;-2411,1618652
162;-2439;-73,662202935220378;7,831145120417765;-2439,1533203
163;-2472;-73,652498718947285;7,831145120417765;-2472,2441406
164;-2527;-73,642794502674192;7,831145120417765;-2527,0278320
165;-2557;-73,633090286401099;7,831145120417765;-2557,7653809
166;-2574;-73,623386070128007;7,831145120417765;-2574,9526367
167;-2585;-73,613681853854914;7,831145120417765;-2585,2976074
168;-2593;-73,603977637581821;7,831145120417765;-2593,4467773
169;-1336;-73,827174611862972;7,821440904144671;-1336,6535645
170;-1384;-73,817470395589879;7,821440904144671;-1384,4091797
171;-1441;-73,807766179316786;7,821440904144671;-1441,6656494
172;-1509;-73,798061963043693;7,821440904144671;-1509,5546875
173;-1587;-73,788357746770600;7,821440904144671;-1587,5131836
174;-1670;-73,778653530497493;7,821440904144671;-1670,4290771
