OBJECTID;BASE_CUATERNARIO_WGS84_tif;X;Y;BASE_CUATERNARIO_WGS84_Band_1
281;-44;-73,743747587154544;8,391600616615625;-44,1407089
282;-46;-73,736264004394073;8,391600616615625;-46,4326477
283;-48;-73,728780421633601;8,391600616615625;-48,8382568
284;-49;-73,721296838873116;8,391600616615625;-49,0486031
285;-46;-73,713813256112644;8,391600616615625;-46,3313560
286;-42;-73,706329673352172;8,391600616615625;-42,6967621
287;-36;-73,698846090591701;8,391600616615625;-36,5268669
288;-26;-73,691362507831229;8,391600616615625;-26,0539627
289;-15;-73,683878925070744;8,391600616615625;-15,5942688
290;-3;-73,676395342310272;8,391600616615625;-3,1174698
291;15;-73,668911759549800;8,391600616615625;15,1428604
292;40;-73,661428176789329;8,391600616615625;40,7608223
293;61;-73,653944594028857;8,391600616615625;61,8154793
294;87;-73,646461011268372;8,391600616615625;87,0050507
295;132;-73,638977428507900;8,391600616615625;132,2096252
296;159;-73,631493845747428;8,391600616615625;159,8512115
297;194;-73,624010262986957;8,391600616615625;194,4781036
298;193;-73,616526680226471;8,391600616615625;193,5250092
299;205;-73,609043097465999;8,391600616615625;205,0900726
300;0;-73,856001328561661;8,384117033855150;-0,0281792
301;-1;-73,848517745801189;8,384117033855150;-1,7736243
302;-3;-73,841034163040717;8,384117033855150;-3,7955399
303;-2;-73,833550580280246;8,384117033855150;-2,1025186
304;-7;-73,826066997519760;8,384117033855150;-7,4691296
305;-9;-73,818583414759289;8,384117033855150;-9,1582222
306;-12;-73,811099831998817;8,384117033855150;-12,3331804
307;-13;-73,803616249238345;8,384117033855150;-13,1805859
308;-18;-73,796132666477874;8,384117033855150;-18,6832733
309;-23;-73,788649083717388;8,384117033855150;-23,1875324
310;-25;-73,781165500956917;8,384117033855150;-25,0988388
311;-28;-73,773681918196445;8,384117033855150;-28,8793411
312;-36;-73,766198335435973;8,384117033855150;-36,6597672
313;-33;-73,758714752675488;8,384117033855150;-33,8957253
314;-43;-73,751231169915016;8,384117033855150;-43,4398651
315;-44;-73,743747587154544;8,384117033855150;-44,1407089
316;-46;-73,736264004394073;8,384117033855150;-46,4326477
317;-48;-73,728780421633601;8,384117033855150;-48,8382568
318;-49;-73,721296838873116;8,384117033855150;-49,0486031
319;-46;-73,713813256112644;8,384117033855150;-46,3313560
320;-42;-73,706329673352172;8,384117033855150;-42,6967621
321;-36;-73,698846090591701;8,384117033855150;-36,5268669
322;-26;-73,691362507831229;8,384117033855150;-26,0539627
323;-15;-73,683878925070744;8,384117033855150;-15,5942688
324;-3;-73,676395342310272;8,384117033855150;-3,1174698
325;15;-73,668911759549800;8,384117033855150;15,1428604
326;40;-73,661428176789329;8,384117033855150;40,7608223
327;61;-73,653944594028857;8,384117033855150;61,8154793
328;87;-73,646461011268372;8,384117033855150;87,0050507
329;132;-73,638977428507900;8,384117033855150;132,2096252
330;159;-73,631493845747428;8,384117033855150;159,8512115
331;194;-73,624010262986957;8,384117033855150;194,4781036
332;193;-73,616526680226471;8,384117033855150;193,5250092
333;205;-73,609043097465999;8,384117033855150;205,0900726
334;0;-73,856001328561661;8,376633451094676;-0,0281792
335;-1;-73,848517745801189;8,376633451094676;-1,7736243
336;-3;-73,841034163040717;8,376633451094676;-3,7955399
337;-2;-73,833550580280246;8,376633451094676;-2,1025186
338;-7;-73,826066997519760;8,376633451094676;-7,4691296
339;-9;-73,818583414759289;8,376633451094676;-9,1582222
340;-12;-73,811099831998817;8,376633451094676;-12,3331804
341;-13;-73,803616249238345;8,376633451094676;-13,1805859
342;-18;-73,796132666477874;8,376633451094676;-18,6832733
343;-23;-73,788649083717388;8,376633451094676;-23,1875324
344;-25;-73,781165500956917;8,376633451094676;-25,0988388
345;-28;-73,773681918196445;8,376633451094676;-28,8793411
346;-36;-73,766198335435973;8,376633451094676;-36,6597672
347;-33;-73,758714752675488;8,376633451094676;-33,8957253
348;-43;-73,751231169915016;8,376633451094676;-43,4398651
349;-44;-73,743747587154544;8,376633451094676;-44,1407089
350;-46;-73,736264004394073;8,376633451094676;-46,4326477
351;-48;-73,728780421633601;8,376633451094676;-48,8382568
352;-49;-73,721296838873116;8,376633451094676;-49,0486031
353;-46;-73,713813256112644;8,376633451094676;-46,3313560
354;-42;-73,706329673352172;8,376633451094676;-42,6967621
355;-36;-73,698846090591701;8,376633451094676;-36,5268669
356;-26;-73,691362507831229;8,376633451094676;-26,0539627
357;-15;-73,683878925070744;8,376633451094676;-15,5942688
358;-3;-73,676395342310272;8,376633451094676;-3,1174698
359;15;-73,668911759549800;8,376633451094676;15,1428604
360;40;-73,661428176789329;8,376633451094676;40,7608223
361;61;-73,653944594028857;8,376633451094676;61,8154793
362;87;-73,646461011268372;8,376633451094676;87,0050507
363;132;-73,638977428507900;8,376633451094676;132,2096252
364;159;-73,631493845747428;8,376633451094676;159,8512115
365;194;-73,624010262986957;8,376633451094676;194,4781036
366;193;-73,616526680226471;8,376633451094676;193,5250092
367;205;-73,609043097465999;8,376633451094676;205,0900726
368;3;-73,863484911322132;8,369149868334201;3,7327728
369;3;-73,856001328561661;8,369149868334201;3,4724522
370;6;-73,848517745801189;8,369149868334201;6,3088264
371;3;-73,841034163040717;8,369149868334201;3,9483757
372;0;-73,833550580280246;8,369149868334201;-0,0282555
373;-3;-73,826066997519760;8,369149868334201;-3,8311906
374;-6;-73,818583414759289;8,369149868334201;-6,6567335
375;-10;-73,811099831998817;8,369149868334201;-10,3612709
376;-13;-73,803616249238345;8,369149868334201;-13,2836313
377;-18;-73,796132666477874;8,369149868334201;-18,4527512
378;-22;-73,788649083717388;8,369149868334201;-22,1358833
379;-25;-73,781165500956917;8,369149868334201;-25,1108856
380;-32;-73,773681918196445;8,369149868334201;-32,0927887
381;-34;-73,766198335435973;8,369149868334201;-34,6613693
382;-39;-73,758714752675488;8,369149868334201;-39,5068359
383;-43;-73,751231169915016;8,369149868334201;-43,2238388
384;-46;-73,743747587154544;8,369149868334201;-46,9440384
385;-49;-73,736264004394073;8,369149868334201;-49,5088463
386;-50;-73,728780421633601;8,369149868334201;-50,2751312
387;-50;-73,721296838873116;8,369149868334201;-50,0359802
388;-51;-73,713813256112644;8,369149868334201;-51,2603722
389;-49;-73,706329673352172;8,369149868334201;-49,5507507
390;-45;-73,698846090591701;8,369149868334201;-45,2775612
391;-40;-73,691362507831229;8,369149868334201;-40,4420547
392;-19;-73,683878925070744;8,369149868334201;-19,0544739
393;-8;-73,676395342310272;8,369149868334201;-8,7381668
394;13;-73,668911759549800;8,369149868334201;13,6738272
395;32;-73,661428176789329;8,369149868334201;32,9536285
396;49;-73,653944594028857;8,369149868334201;49,5091476
397;56;-73,646461011268372;8,369149868334201;56,3027725
398;88;-73,638977428507900;8,369149868334201;88,2837372
399;106;-73,631493845747428;8,369149868334201;106,0276184
400;117;-73,624010262986957;8,369149868334201;117,1450729
401;132;-73,616526680226471;8,369149868334201;132,5720978
402;138;-73,609043097465999;8,369149868334201;138,8702850
403;143;-73,601559514705528;8,369149868334201;143,9663849
404;3;-73,863484911322132;8,361666285573726;3,7327728
405;3;-73,856001328561661;8,361666285573726;3,4724522
406;6;-73,848517745801189;8,361666285573726;6,3088264
407;3;-73,841034163040717;8,361666285573726;3,9483757
408;0;-73,833550580280246;8,361666285573726;-0,0282555
409;-3;-73,826066997519760;8,361666285573726;-3,8311906
410;-6;-73,818583414759289;8,361666285573726;-6,6567335
411;-10;-73,811099831998817;8,361666285573726;-10,3612709
412;-13;-73,803616249238345;8,361666285573726;-13,2836313
413;-18;-73,796132666477874;8,361666285573726;-18,4527512
414;-22;-73,788649083717388;8,361666285573726;-22,1358833
415;-25;-73,781165500956917;8,361666285573726;-25,1108856
