OBJECTID;TOPE_MUGROSA_WGS84_tif;X;Y;TOPE_MUGROSA_WGS84_Band_1
212;-2207;-73,643744063460915;7,889344816713511;-2207,3159180
213;-2283;-73,634062791275994;7,889344816713511;-2283,5122070
214;-2352;-73,624381519091074;7,889344816713511;-2352,8649902
215;-2413;-73,614700246906153;7,889344816713511;-2413,7470703
216;-2455;-73,605018974721233;7,889344816713511;-2455,3762207
217;-2433;-73,595337702536312;7,889344816713511;-2433,1545410
218;-244;-73,934182229008570;7,879663544528588;-244,2744751
219;-283;-73,924500956823650;7,879663544528588;-283,1171265
220;-325;-73,914819684638729;7,879663544528588;-325,4382324
221;-371;-73,905138412453809;7,879663544528588;-371,1969604
222;-420;-73,895457140268874;7,879663544528588;-420,1702576
223;-471;-73,885775868083954;7,879663544528588;-471,7865601
224;-524;-73,876094595899033;7,879663544528588;-524,7741089
225;-577;-73,866413323714113;7,879663544528588;-577,3308716
226;-635;-73,856732051529193;7,879663544528588;-635,6577759
227;-693;-73,847050779344272;7,879663544528588;-693,6283569
228;-754;-73,837369507159352;7,879663544528588;-754,2235107
229;-819;-73,827688234974431;7,879663544528588;-819,4117432
230;-890;-73,818006962789511;7,879663544528588;-890,1199951
231;-967;-73,808325690604590;7,879663544528588;-967,0698242
232;-1051;-73,798644418419670;7,879663544528588;-1051,4891357
233;-1143;-73,788963146234735;7,879663544528588;-1143,4711914
234;-1219;-73,779281874049815;7,879663544528588;-1219,1175537
235;-1299;-73,769600601864894;7,879663544528588;-1299,8552246
236;-1383;-73,759919329679974;7,879663544528588;-1383,1247559
237;-1465;-73,750238057495054;7,879663544528588;-1465,5886230
238;-1544;-73,740556785310133;7,879663544528588;-1544,9724121
239;-1620;-73,730875513125213;7,879663544528588;-1620,0759277
240;-1690;-73,721194240940292;7,879663544528588;-1690,6741943
241;-1757;-73,711512968755372;7,879663544528588;-1757,4372559
242;-1821;-73,701831696570451;7,879663544528588;-1821,7572021
243;-1885;-73,692150424385531;7,879663544528588;-1885,6562500
