POZO,TOPE FM,Depth (feet),Depth [TVD],Depth [TVDSS],Depth [X Absolute],Depth [Y Absolute],colors,Depth (mt),top_Depth (mt),lon,lat
GALA-1K,YNC-BASE_HORIZONTE_FOSILIFERO_DE_MUGROSA,5423.0,5422.8,-5080.3,1026523.9,1281387.56,#FED99A,1652.9304000000002,1636.1664,-73.83739032003507,7.140649904163085
GALA-1K,YNC-FM_ESMERALDA-LA_PAZ,7233.0,7232.7,-6890.2,1026520.46,1281387.621,#FDCDA1,2204.6184000000003,1652.9304000000002,-73.83742146145703,7.140650471941136
GALA-1K,YNC-FM_UMIR,7882.0,7881.7,-7539.2,1026518.341,1281388.274,#F2FA8C,2402.4336000000003,2204.6184000000003,-73.83744064130916,7.140656386485267
GALA-1K,YNC-DISCORDANCIA_DEL_EOCENO,7882.0,7881.7,-7539.2,1026518.341,1281388.274,#FDA75F,2402.4336000000003,2402.4336000000003,-73.83744064130916,7.140656386485267
GALA-1K,YNC-FM_LID_SUP,8223.0,8222.6,-7880.1,1026516.865,1281390.313,#CCE968,2506.3704,2402.4336000000003,-73.837453993662,7.140674830505993
GALA-1K,YNC-FM_SH_MEDIO,8728.0,8727.0,-8384.5,1026516.921,1281396.95,#CCE968,2660.2944,2506.3704,-73.83745345541148,7.140734843401163
GALA-1K,YNC-FM_LID_INF,9156.0,9154.7,-8812.2,1026518.442,1281401.379,#CCE968,2790.7488000000003,2660.2944,-73.83743966518239,7.140774884193441
GALA-1K,YNC-MB_GALEMBO,9332.0,9330.6,-8988.1,1026519.111,1281402.914,#E6F47F,2844.3936000000003,2790.7488000000003,-73.83743360160447,7.140788760837514
GALA-1K,YNC-MB_PUJAMANA,9654.0,9652.6,-9310.1,1026518.553,1281404.633,#CCE968,2942.5392,2844.3936000000003,-73.83743864497558,7.140804307027324
GALA-1K,YNC-MB_SALADA,10292.0,10290.5,-9948.0,1026518.813,1281406.69,#BFE35D,3137.0016,2942.5392,-73.83743628154163,7.140822905632109
GALA-1K,YNC-FM_SIMITI,10742.0,10740.4,-10397.9,1026519.635,1281409.061,#B3DE53,3274.1616000000004,3137.0016,-73.83742882893843,7.140844340844375
GALA-1K,YNC-FM_TABLAZO,12607.0,12605.2,-12262.7,1026520.52,1281413.979,#CCEA97,3842.6136,3274.1616000000004,-73.83742079399579,7.140888806272657
