LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,OBJECTID,SHAPE_Leng,Tipo,NombreFall,Comentario
"1","54",0.1057503639,1307.0310776000,-73.4405280110,8.4443771130,1051.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","55",0.1075973800,1307.0329247000,-73.4402780280,8.4425470920,1051.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","56",0.1091645971,1350.0329247000,-73.4401280460,8.4409870680,1094.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","57",0.1105735209,1350.0343336000,-73.4398980590,8.4395970420,1094.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","58",0.1123040035,1350.0360641000,-73.4397080740,8.4378770200,1094.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","59",0.1144009331,1380.0360642000,-73.4395380950,8.4357869910,1124.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","60",0.1168798775,1426.0360642000,-73.4393281140,8.4333169560,1170.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","61",0.1187307411,1426.0379151000,-73.4391281310,8.4314769280,1170.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","62",0.1204436861,1426.0396280000,-73.4389181500,8.4297769020,1170.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","63",0.1230538673,1450.0396282000,-73.4386881720,8.4271768720,1194.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","64",0.1252490344,1480.0396283000,-73.4385381980,8.4249868340,1224.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","65",0.1267685863,1480.0411478000,-73.4383682100,8.4234768200,1224.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","66",0.1291153891,1480.0434946000,-73.4380882320,8.4211467780,1224.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","67",0.1313870862,1486.0434950000,-73.4378582540,8.4188867520,1230.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","68",0.1330504207,1486.0451584000,-73.4376482640,8.4172367260,1230.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","69",0.1346097389,1501.0451585000,-73.4374782760,8.4156867010,1215.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","70",0.1368262705,1501.0473750000,-73.4372082960,8.4134866730,1215.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","71",0.1385708012,1530.0473750000,-73.4367383070,8.4118066440,1244.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","72",0.1408496536,1530.0496539000,-73.4361083090,8.4096166050,1244.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","73",0.1427713679,1552.0496540000,-73.4355883190,8.4077665790,1266.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","74",0.1446292478,1552.0515119000,-73.4351283280,8.4059665440,1266.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","75",0.1461520615,1552.0530347000,-73.4345783260,8.4045465230,1266.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","76",0.1480180996,1625.0530347000,-73.4340183340,8.4027664930,1339.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","77",0.1504082172,1625.0554248000,-73.4333683400,8.4004664560,1339.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","78",0.1526125437,1649.0554249000,-73.4326983400,8.3983664190,1315.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","79",0.1558603755,1683.0554251000,-73.4316983450,8.3952763670,1349.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","81",0.1624213351,1739.0576812000,-73.4300483730,8.3889262660,1405.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","84",0.1720221884,1808.0584917000,-73.4269883880,8.3798261080,1474.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","87",0.1828195706,1900.0584924000,-73.4225883680,8.3699659210,1470.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","89",0.1917329008,1958.0584936000,-73.4191183550,8.3617557770,1412.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","92",0.2037463485,2004.0616254000,-73.4149583650,8.3504855770,1386.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","94",0.2121219274,2040.0616276000,-73.4121483720,8.3425954400,1360.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","95",0.2121419324,2040.0616476000,-73.4121283670,8.3425954400,1360.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","96",0.2165574244,2046.0616492000,-73.4106483740,8.3384353690,1366.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","98",0.2223729817,2069.0616505000,-73.4087883850,8.3329252740,1389.0000000000,"17837",0.14200408535,Falla,,
"1","98",0.2223729817,2069.0616505000,-73.4087883850,8.3329252740,1389.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","100",0.2310014960,2155.0616511000,-73.4058983880,8.3247951340,1339.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","103",0.2413016596,2264.0631394000,-73.4025484000,8.3150549620,1274.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","105",0.2487300748,2302.0631408000,-73.4002384090,8.3079948420,1312.0000000000,"14268",0.23528665181,Falla,,
"1","105",0.2487300748,2302.0631408000,-73.4002384090,8.3079948420,1312.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","106",0.2513516563,2368.0631408000,-73.3994184180,8.3055048010,1246.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","109",0.2610898463,2392.0642751000,-73.3969884570,8.2960746560,1252.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","111",0.2663429016,2406.0642767000,-73.3960584940,8.2909045730,1266.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","113",0.2711800263,2429.0648801000,-73.3951985190,8.2861445080,1243.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","116",0.2809000633,2464.0661813000,-73.3938086010,8.2765243600,1278.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","118",0.2889884642,2531.0661822000,-73.3920286430,8.2686342410,1345.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","118",0.2889884642,2531.0661822000,-73.3920286430,8.2686342410,1345.0000000000,"14496",0.11501644503,Falla,,
"1","119",0.2904684859,2634.0661822000,-73.3915486460,8.2672342170,1242.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","120",0.2917629948,2657.0661822000,-73.3910886460,8.2660241950,1265.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","121",0.2929763581,2657.0673956000,-73.3905986420,8.2649141740,1265.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","122",0.2943621677,2657.0687814000,-73.3901186360,8.2636141500,1265.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","123",0.2954679001,2657.0698871000,-73.3896686340,8.2626041290,1265.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","124",0.2955573352,2657.0699766000,-73.3896286410,8.2625241340,1265.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","125",0.2967627618,2693.0699766000,-73.3891586340,8.2614141130,1301.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","126",0.2978721906,2693.0710860000,-73.3886386350,8.2604340960,1301.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","127",0.2993206977,2693.0725345000,-73.3880886320,8.2590940700,1301.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","128",0.3008324103,2697.0725348000,-73.3876286320,8.2576540440,1305.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","129",0.3021737736,2772.0725348000,-73.3871686320,8.2563940220,1230.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","130",0.3036907937,2772.0740518000,-73.3865386340,8.2550140030,1230.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","131",0.3049985231,2796.0740519000,-73.3861886330,8.2537539810,1254.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","132",0.3057437888,2796.0747971000,-73.3860386410,8.2530239650,1254.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","133",0.3074374816,2796.0764908000,-73.3855786400,8.2513939360,1254.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","134",0.3084528213,2796.0775062000,-73.3852786480,8.2504239260,1254.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","135",0.3099179386,2822.0775062000,-73.3850086590,8.2489839000,1280.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","136",0.3111641090,2822.0787524000,-73.3848086680,8.2477538820,1280.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","137",0.3124333412,2822.0800216000,-73.3844586660,8.2465338620,1280.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","138",0.3134641292,2883.0800216000,-73.3842086740,8.2455338480,1341.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","139",0.3146551572,2883.0812126000,-73.3839386760,8.2443738270,1341.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","140",0.3156357794,2883.0821933000,-73.3837386840,8.2434138150,1341.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","141",0.3166059439,2883.0831634000,-73.3835986910,8.2424538040,1341.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","142",0.3171163457,2883.0836738000,-73.3835786940,8.2419437940,1341.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","143",0.3199761248,2922.0836739000,-73.3825286980,8.2392837480,1302.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","144",0.3237082032,2954.0836742000,-73.3814087060,8.2357236880,1334.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","145",0.3267483933,2979.0836743000,-73.3805287160,8.2328136410,1359.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","147",0.3313749666,2999.0839002000,-73.3790387170,8.2284335630,1379.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","148",0.3349744870,2999.0874998000,-73.3778287220,8.2250435100,1379.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","149",0.3388784106,3001.0875036000,-73.3763187170,8.2214434400,1381.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","150",0.3413339713,3035.0875037000,-73.3754587150,8.2191434020,1415.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","151",0.3439608328,3101.0875037000,-73.3743687080,8.2167533630,1349.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
"1","152",0.3467741639,3134.0875038000,-73.3733187120,8.2141433170,1316.0000000000,"13807",0.45787149482,Falla de rumbo sinestral,Falla de Algarrobo,
