LINE_ID,ID,DIST,DIST_SURF,X,Y,Z,Id_2,Campo,Compañia,Estado,Info_hidro,INFO
"3","221",0.2447271180,67.0817910710,-73.6940181950,7.7814776055,45.0000000000,"8",SANTA LUCIA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"PRUEBAS DE BOMBEO ,HIDROQUIMICA,PIEZOMETROS"
"4","235",0.0000000000,0.0000000000,-73.7450454730,8.0479343089,41.0000000000,"9",LEBRIJA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"4","238",0.0139607148,2.0096975064,-73.7379150810,8.0359318480,43.0000000000,"9",LEBRIJA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"4","241",0.0259846915,5.0138826307,-73.7372020420,8.0239290320,40.0000000000,"9",LEBRIJA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"4","244",0.0390585274,6.0214608108,-73.7457585120,8.0140440939,41.0000000000,"9",LEBRIJA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"4","249",0.0568399373,8.0308655397,-73.7478976290,7.9963918216,39.0000000000,"9",LEBRIJA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"4","253",0.0716638515,12.0329379900,-73.7624034290,7.9933372823,39.0000000000,"9",LEBRIJA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"4","261",0.1008420412,21.0371552350,-73.7623809490,8.0225154633,40.0000000000,"9",LEBRIJA,ECOPETROLS.A.,PRODUCCIÓN,"0",
"5","268",0.0000000000,0.0000000000,-73.6088549890,8.0592304181,71.0000000000,"10",TISQUIRAMA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"5","278",0.0406677531,15.0042241000,-73.5682117550,8.0606424095,86.0000000000,"10",TISQUIRAMA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"5","300",0.1295492890,65.0255052350,-73.5529866740,7.9730745825,74.0000000000,"10",TISQUIRAMA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"5","307",0.1598529490,97.0255228560,-73.5813391160,7.9623764123,64.0000000000,"10",TISQUIRAMA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"5","315",0.2039794278,110.0366257300,-73.6102810670,7.9956857148,65.0000000000,"10",TISQUIRAMA,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"6","331",0.0000000000,0.0000000000,-73.6114165480,8.1271957371,88.0000000000,"11",LOS ANGELES,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
"6","339",0.0297016029,5.0130653064,-73.5817149660,8.1271606012,93.0000000000,"11",LOS ANGELES,ECOPETROLS.A.,PRODUCCIÓN,MEDIA,"MOD HIDROGEO, ICA POZOS, RES. AVANCE 1"
