OBJECTID;DISCORDANCIA_EOCENO_WGS84_tif;X;Y;DISCORDANCIA_EOCENO_WGS84_Band_1
168;-762;-73,686883171675433;8,346285347222386;-762,2183228
169;-802;-73,670338316376913;8,346285347222386;-802,4210815
170;-852;-73,653793461078394;8,346285347222386;-852,7083740
171;-894;-73,637248605779874;8,346285347222386;-894,0709229
172;-976;-73,620703750481354;8,346285347222386;-976,6042480
173;-976;-73,604158895182834;8,346285347222386;-976,6042480
174;-1035;-73,587614039884315;8,346285347222386;-1035,2116699
175;-1035;-73,571069184585795;8,346285347222386;-1035,4372559
176;-40;-73,835786869362096;8,329740491923868;-40,6607056
177;-172;-73,819242014063576;8,329740491923868;-172,1288757
178;-343;-73,802697158765056;8,329740491923868;-343,0266724
179;-343;-73,786152303466537;8,329740491923868;-343,0266724
180;-454;-73,769607448168017;8,329740491923868;-454,3854065
181;-531;-73,753062592869497;8,329740491923868;-531,3431396
182;-556;-73,736517737570992;8,329740491923868;-556,0288696
183;-662;-73,719972882272472;8,329740491923868;-662,6428223
184;-706;-73,703428026973953;8,329740491923868;-706,3631592
185;-814;-73,686883171675433;8,329740491923868;-814,6160278
186;-814;-73,670338316376913;8,329740491923868;-814,6160278
187;-845;-73,653793461078394;8,329740491923868;-845,5955200
188;-887;-73,637248605779874;8,329740491923868;-887,3007202
189;-982;-73,620703750481354;8,329740491923868;-982,5816650
190;-1014;-73,604158895182834;8,329740491923868;-1014,9956055
191;-1051;-73,587614039884315;8,329740491923868;-1051,6833496
192;-1037;-73,571069184585795;8,329740491923868;-1037,8317871
193;-1016;-73,554524329287290;8,329740491923868;-1016,7239380
194;-25;-73,835786869362096;8,313195636625348;-25,0788612
195;-98;-73,819242014063576;8,313195636625348;-98,3988800
196;-280;-73,802697158765056;8,313195636625348;-280,6494751
197;-361;-73,786152303466537;8,313195636625348;-361,9560852
198;-492;-73,769607448168017;8,313195636625348;-492,5303650
199;-531;-73,753062592869497;8,313195636625348;-531,3431396
200;-547;-73,736517737570992;8,313195636625348;-547,6267090
201;-579;-73,719972882272472;8,313195636625348;-579,8587036
202;-665;-73,703428026973953;8,313195636625348;-665,0122681
203;-765;-73,686883171675433;8,313195636625348;-765,0180054
204;-860;-73,670338316376913;8,313195636625348;-860,4339600
205;-845;-73,653793461078394;8,313195636625348;-845,5955200
206;-948;-73,637248605779874;8,313195636625348;-948,3159790
207;-948;-73,620703750481354;8,313195636625348;-948,3159790
208;-1019;-73,604158895182834;8,313195636625348;-1019,1883545
209;-1040;-73,587614039884315;8,313195636625348;-1040,8413086
210;-1049;-73,571069184585795;8,313195636625348;-1049,0734863
211;-961;-73,554524329287290;8,313195636625348;-961,3238525
212;-101;-73,835786869362096;8,296650781326830;-101,8576813
213;-173;-73,819242014063576;8,296650781326830;-173,8846436
214;-314;-73,802697158765056;8,296650781326830;-314,8341675
215;-314;-73,786152303466537;8,296650781326830;-314,8341675
216;-442;-73,769607448168017;8,296650781326830;-442,6441040
217;-490;-73,753062592869497;8,296650781326830;-490,7661743
218;-544;-73,736517737570992;8,296650781326830;-544,8258057
219;-560;-73,719972882272472;8,296650781326830;-560,7684326
220;-657;-73,703428026973953;8,296650781326830;-657,6035767
221;-764;-73,686883171675433;8,296650781326830;-764,5869141
222;-776;-73,670338316376913;8,296650781326830;-776,5317993
223;-912;-73,653793461078394;8,296650781326830;-912,3976440
224;-983;-73,637248605779874;8,296650781326830;-983,2816772
225;-998;-73,620703750481354;8,296650781326830;-998,6705933
226;-1032;-73,604158895182834;8,296650781326830;-1032,6888428
227;-1044;-73,587614039884315;8,296650781326830;-1044,8647461
228;-1022;-73,571069184585795;8,296650781326830;-1022,3739014
229;-1022;-73,554524329287290;8,296650781326830;-1022,3739014
230;-845;-73,537979473988770;8,296650781326830;-845,9550781
231;-52;-73,835786869362096;8,280105926028313;-52,9488602
232;-135;-73,819242014063576;8,280105926028313;-135,2334137
233;-258;-73,802697158765056;8,280105926028313;-258,7341309
234;-364;-73,786152303466537;8,280105926028313;-364,7666016
235;-474;-73,769607448168017;8,280105926028313;-474,3815308
236;-516;-73,753062592869497;8,280105926028313;-516,6518555
237;-573;-73,736517737570992;8,280105926028313;-573,3359375
238;-605;-73,719972882272472;8,280105926028313;-605,0426025
239;-736;-73,703428026973953;8,280105926028313;-736,2939453
240;-691;-73,686883171675433;8,280105926028313;-691,3696899
241;-815;-73,670338316376913;8,280105926028313;-815,8053589
242;-939;-73,653793461078394;8,280105926028313;-939,0564575
243;-1017;-73,637248605779874;8,280105926028313;-1017,1481323
244;-1017;-73,620703750481354;8,280105926028313;-1017,1481323
245;-1049;-73,604158895182834;8,280105926028313;-1049,9229736
246;-1026;-73,587614039884315;8,280105926028313;-1026,3668213
247;-955;-73,571069184585795;8,280105926028313;-955,3135986
248;-952;-73,554524329287290;8,280105926028313;-952,7186279
249;-618;-73,537979473988770;8,280105926028313;-618,4193726
250;33;-73,852331724660615;8,263561070729795;33,4575119
251;-52;-73,835786869362096;8,263561070729795;-52,9488602
252;-176;-73,819242014063576;8,263561070729795;-176,1771088
253;-258;-73,802697158765056;8,263561070729795;-258,7341309
254;-302;-73,786152303466537;8,263561070729795;-302,3217773
255;-411;-73,769607448168017;8,263561070729795;-411,7665710
256;-516;-73,753062592869497;8,263561070729795;-516,4694824
257;-573;-73,736517737570992;8,263561070729795;-573,3359375
258;-682;-73,719972882272472;8,263561070729795;-682,0136108
259;-736;-73,703428026973953;8,263561070729795;-736,2939453
260;-789;-73,686883171675433;8,263561070729795;-789,1066284
261;-915;-73,670338316376913;8,263561070729795;-915,7197876
262;-944;-73,653793461078394;8,263561070729795;-944,4039307
263;-1052;-73,637248605779874;8,263561070729795;-1052,5008545
264;-1059;-73,620703750481354;8,263561070729795;-1059,5893555
265;-1038;-73,604158895182834;8,263561070729795;-1038,2849121
266;-987;-73,587614039884315;8,263561070729795;-987,6286621
267;-794;-73,571069184585795;8,263561070729795;-794,8560791
268;-794;-73,554524329287290;8,263561070729795;-794,8560791
269;-716;-73,537979473988770;8,263561070729795;-716,2904053
270;-618;-73,521434618690250;8,263561070729795;-618,4193726
271;-7;-73,835786869362096;8,247016215431277;-7,9401531
272;-143;-73,819242014063576;8,247016215431277;-143,9101562
273;-223;-73,802697158765056;8,247016215431277;-223,3204041
274;-355;-73,786152303466537;8,247016215431277;-355,5845947
275;-440;-73,769607448168017;8,247016215431277;-440,8366089
276;-590;-73,753062592869497;8,247016215431277;-590,1223755
277;-590;-73,736517737570992;8,247016215431277;-590,1223755
