OBJECTID;TOPE_COLORADO_WGS84_tif;X;Y;TOPE_COLORADO_WGS84_Band_1
184;-359;-73,808325690604590;8,053926443857179;-359,8488159
185;-426;-73,798644418419670;8,053926443857179;-426,1333618
186;-517;-73,788963146234735;8,053926443857179;-517,3140869
187;-617;-73,779281874049815;8,053926443857179;-617,0455933
188;-716;-73,769600601864894;8,053926443857179;-716,2718506
189;-807;-73,759919329679974;8,053926443857179;-807,0281982
190;-887;-73,750238057495054;8,053926443857179;-887,8895264
191;-946;-73,740556785310133;8,053926443857179;-946,0727539
192;-1022;-73,730875513125213;8,053926443857179;-1022,4316406
193;-1052;-73,721194240940292;8,053926443857179;-1052,6605225
194;-1101;-73,711512968755372;8,053926443857179;-1101,0943604
195;-1169;-73,701831696570451;8,053926443857179;-1169,5640869
196;-1276;-73,692150424385531;8,053926443857179;-1276,6113281
197;-1313;-73,682469152200611;8,053926443857179;-1313,6839600
198;-1371;-73,672787880015676;8,053926443857179;-1371,5548096
199;-1423;-73,663106607830755;8,053926443857179;-1423,4439697
200;-1448;-73,653425335645835;8,053926443857179;-1448,8188477
201;-1475;-73,643744063460915;8,053926443857179;-1475,8679199
202;-1511;-73,634062791275994;8,053926443857179;-1511,6094971
203;-1547;-73,624381519091074;8,053926443857179;-1547,3289795
204;-1573;-73,614700246906153;8,053926443857179;-1573,6694336
205;-1558;-73,605018974721233;8,053926443857179;-1558,0317383
206;-1542;-73,595337702536312;8,053926443857179;-1542,6485596
207;-1524;-73,585656430351392;8,053926443857179;-1524,5498047
208;-362;-73,808325690604590;8,044245171672257;-362,9803467
209;-419;-73,798644418419670;8,044245171672257;-419,5422974
210;-519;-73,788963146234735;8,044245171672257;-519,6157227
211;-626;-73,779281874049815;8,044245171672257;-626,1165161
212;-734;-73,769600601864894;8,044245171672257;-734,7657471
213;-826;-73,759919329679974;8,044245171672257;-826,7357788
214;-903;-73,750238057495054;8,044245171672257;-903,5220947
215;-961;-73,740556785310133;8,044245171672257;-961,8143921
216;-1022;-73,730875513125213;8,044245171672257;-1022,4413452
217;-1080;-73,721194240940292;8,044245171672257;-1080,5270996
218;-1162;-73,711512968755372;8,044245171672257;-1162,1763916
219;-1210;-73,701831696570451;8,044245171672257;-1210,0861816
220;-1252;-73,692150424385531;8,044245171672257;-1252,9437256
221;-1287;-73,682469152200611;8,044245171672257;-1287,1660156
222;-1371;-73,672787880015676;8,044245171672257;-1371,9237061
223;-1442;-73,663106607830755;8,044245171672257;-1442,1436768
224;-1483;-73,653425335645835;8,044245171672257;-1483,6676025
225;-1517;-73,643744063460915;8,044245171672257;-1517,6665039
226;-1548;-73,634062791275994;8,044245171672257;-1548,5952148
227;-1572;-73,624381519091074;8,044245171672257;-1572,1895752
228;-1579;-73,614700246906153;8,044245171672257;-1579,2678223
229;-1559;-73,605018974721233;8,044245171672257;-1559,5981445
230;-1561;-73,595337702536312;8,044245171672257;-1561,4444580
231;-380;-73,808325690604590;8,034563899487335;-380,2685547
232;-449;-73,798644418419670;8,034563899487335;-449,5262451
233;-540;-73,788963146234735;8,034563899487335;-540,4573975
234;-633;-73,779281874049815;8,034563899487335;-633,4708252
235;-746;-73,769600601864894;8,034563899487335;-746,2819824
236;-835;-73,759919329679974;8,034563899487335;-835,3967285
237;-915;-73,750238057495054;8,034563899487335;-915,6586304
238;-984;-73,740556785310133;8,034563899487335;-984,0001831
239;-1050;-73,730875513125213;8,034563899487335;-1050,0263672
240;-1097;-73,721194240940292;8,034563899487335;-1097,8431396
241;-1176;-73,711512968755372;8,034563899487335;-1176,1796875
242;-1235;-73,701831696570451;8,034563899487335;-1235,5195312
243;-1300;-73,692150424385531;8,034563899487335;-1300,6529541
244;-1335;-73,682469152200611;8,034563899487335;-1335,8596191
245;-1406;-73,672787880015676;8,034563899487335;-1406,1954346
246;-1473;-73,663106607830755;8,034563899487335;-1473,6259766
247;-1514;-73,653425335645835;8,034563899487335;-1514,2080078
248;-1551;-73,643744063460915;8,034563899487335;-1551,4421387
249;-1579;-73,634062791275994;8,034563899487335;-1579,5328369
250;-1596;-73,624381519091074;8,034563899487335;-1596,6428223
251;-1597;-73,614700246906153;8,034563899487335;-1597,8963623
252;-1583;-73,605018974721233;8,034563899487335;-1583,4870605
253;-1596;-73,595337702536312;8,034563899487335;-1596,8670654
254;-407;-73,808325690604590;8,024882627302414;-407,9718323
255;-484;-73,798644418419670;8,024882627302414;-484,7615051
256;-565;-73,788963146234735;8,024882627302414;-565,5977173
257;-626;-73,779281874049815;8,024882627302414;-626,1677856
258;-730;-73,769600601864894;8,024882627302414;-730,8971558
259;-822;-73,759919329679974;8,024882627302414;-822,8187256
260;-916;-73,750238057495054;8,024882627302414;-916,4948730
261;-997;-73,740556785310133;8,024882627302414;-997,8078003
262;-1087;-73,730875513125213;8,024882627302414;-1087,1446533
263;-1132;-73,721194240940292;8,024882627302414;-1132,5837402
264;-1197;-73,711512968755372;8,024882627302414;-1197,0673828
265;-1248;-73,701831696570451;8,024882627302414;-1248,4984131
266;-1327;-73,692150424385531;8,024882627302414;-1327,0368652
267;-1370;-73,682469152200611;8,024882627302414;-1370,1330566
268;-1440;-73,672787880015676;8,024882627302414;-1440,0286865
269;-1505;-73,663106607830755;8,024882627302414;-1505,8548584
270;-1533;-73,653425335645835;8,024882627302414;-1533,8284912
271;-1575;-73,643744063460915;8,024882627302414;-1575,0447998
272;-1604;-73,634062791275994;8,024882627302414;-1604,7502441
273;-1623;-73,624381519091074;8,024882627302414;-1623,7387695
274;-1628;-73,614700246906153;8,024882627302414;-1628,7377930
275;-1605;-73,605018974721233;8,024882627302414;-1605,7871094
276;-1617;-73,595337702536312;8,024882627302414;-1617,4836426
277;-1629;-73,585656430351392;8,024882627302414;-1629,2082520
278;-512;-73,798644418419670;8,015201355117492;-512,0839233
279;-584;-73,788963146234735;8,015201355117492;-584,1413574
280;-638;-73,779281874049815;8,015201355117492;-638,9020996
281;-704;-73,769600601864894;8,015201355117492;-704,3123779
282;-788;-73,759919329679974;8,015201355117492;-788,0314941
283;-898;-73,750238057495054;8,015201355117492;-898,6373291
284;-983;-73,740556785310133;8,015201355117492;-983,5659180
285;-1071;-73,730875513125213;8,015201355117492;-1071,0341797
286;-1130;-73,721194240940292;8,015201355117492;-1130,6132812
287;-1199;-73,711512968755372;8,015201355117492;-1199,3818359
288;-1264;-73,701831696570451;8,015201355117492;-1264,3636475
289;-1333;-73,692150424385531;8,015201355117492;-1333,3327637
290;-1388;-73,682469152200611;8,015201355117492;-1388,3061523
291;-1449;-73,672787880015676;8,015201355117492;-1449,7893066
292;-1505;-73,663106607830755;8,015201355117492;-1505,3201904
293;-1539;-73,653425335645835;8,015201355117492;-1539,3723145
294;-1573;-73,643744063460915;8,015201355117492;-1573,3641357
295;-1617;-73,634062791275994;8,015201355117492;-1617,2176514
296;-1647;-73,624381519091074;8,015201355117492;-1647,1055908
297;-1673;-73,614700246906153;8,015201355117492;-1673,9486084
298;-1652;-73,605018974721233;8,015201355117492;-1652,8482666
299;-1645;-73,595337702536312;8,015201355117492;-1645,1452637
300;-1633;-73,585656430351392;8,015201355117492;-1633,0336914
301;-538;-73,798644418419670;8,005520082932570;-538,0315552
302;-620;-73,788963146234735;8,005520082932570;-620,5072021
303;-681;-73,779281874049815;8,005520082932570;-681,2774048
304;-743;-73,769600601864894;8,005520082932570;-743,7233887
305;-833;-73,759919329679974;8,005520082932570;-833,3132324
306;-940;-73,750238057495054;8,005520082932570;-940,7551270
307;-1027;-73,740556785310133;8,005520082932570;-1027,1425781
308;-1101;-73,730875513125213;8,005520082932570;-1101,0749512
309;-1145;-73,721194240940292;8,005520082932570;-1145,6591797
310;-1191;-73,711512968755372;8,005520082932570;-1191,1677246
311;-1239;-73,701831696570451;8,005520082932570;-1239,8823242
312;-1317;-73,692150424385531;8,005520082932570;-1317,3316650
313;-1387;-73,682469152200611;8,005520082932570;-1387,7742920
314;-1447;-73,672787880015676;8,005520082932570;-1447,9086914
315;-1500;-73,663106607830755;8,005520082932570;-1500,7331543
316;-1541;-73,653425335645835;8,005520082932570;-1541,3779297
317;-1579;-73,643744063460915;8,005520082932570;-1579,4908447
318;-1620;-73,634062791275994;8,005520082932570;-1620,5803223
319;-1652;-73,624381519091074;8,005520082932570;-1652,2264404
320;-1675;-73,614700246906153;8,005520082932570;-1675,0058594
321;-1664;-73,605018974721233;8,005520082932570;-1664,0484619
322;-1655;-73,595337702536312;8,005520082932570;-1655,1815186
323;-1617;-73,585656430351392;8,005520082932570;-1617,5623779
324;-1539;-73,575975158166472;8,005520082932570;-1539,4663086
325;-591;-73,798644418419670;7,995838810747649;-591,8454590
326;-673;-73,788963146234735;7,995838810747649;-673,0256348
327;-734;-73,779281874049815;7,995838810747649;-734,4757080
328;-792;-73,769600601864894;7,995838810747649;-792,3002930
329;-892;-73,759919329679974;7,995838810747649;-892,8673096
330;-1004;-73,750238057495054;7,995838810747649;-1004,8426514
331;-1078;-73,740556785310133;7,995838810747649;-1078,8510742
332;-1120;-73,730875513125213;7,995838810747649;-1120,1059570
333;-1167;-73,721194240940292;7,995838810747649;-1167,2657471
334;-1211;-73,711512968755372;7,995838810747649;-1211,2637939
335;-1260;-73,701831696570451;7,995838810747649;-1260,2714844
336;-1325;-73,692150424385531;7,995838810747649;-1325,9155273
337;-1391;-73,682469152200611;7,995838810747649;-1391,0367432
338;-1448;-73,672787880015676;7,995838810747649;-1448,3216553
339;-1498;-73,663106607830755;7,995838810747649;-1498,3352051
340;-1541;-73,653425335645835;7,995838810747649;-1541,2186279
341;-1581;-73,643744063460915;7,995838810747649;-1581,7303467
342;-1621;-73,634062791275994;7,995838810747649;-1621,8416748
343;-1654;-73,624381519091074;7,995838810747649;-1654,8685303
344;-1675;-73,614700246906153;7,995838810747649;-1675,2857666
345;-1665;-73,605018974721233;7,995838810747649;-1665,3757324
346;-1662;-73,595337702536312;7,995838810747649;-1662,8239746
347;-1607;-73,585656430351392;7,995838810747649;-1607,9066162
348;-1485;-73,575975158166472;7,995838810747649;-1485,7247314
349;-1393;-73,566293885981537;7,995838810747649;-1393,7025146
350;-1367;-73,556612613796617;7,995838810747649;-1367,1427002
351;-13;-73,866413323714113;7,986157538562727;-13,4328003
352;-87;-73,856732051529193;7,986157538562727;-87,3627701
353;-546;-73,808325690604590;7,986157538562727;-546,1109619
354;-637;-73,798644418419670;7,986157538562727;-637,4776611
355;-712;-73,788963146234735;7,986157538562727;-712,4082031
356;-770;-73,779281874049815;7,986157538562727;-770,7886963
357;-814;-73,769600601864894;7,986157538562727;-814,9448242
358;-925;-73,759919329679974;7,986157538562727;-925,7146606
359;-1048;-73,750238057495054;7,986157538562727;-1048,7238770
360;-1125;-73,740556785310133;7,986157538562727;-1125,1369629
361;-1167;-73,730875513125213;7,986157538562727;-1167,8090820
362;-1204;-73,721194240940292;7,986157538562727;-1204,4179688
363;-1244;-73,711512968755372;7,986157538562727;-1244,5999756
364;-1291;-73,701831696570451;7,986157538562727;-1291,2926025
365;-1346;-73,692150424385531;7,986157538562727;-1346,6353760
366;-1402;-73,682469152200611;7,986157538562727;-1402,4864502
367;-1453;-73,672787880015676;7,986157538562727;-1453,4477539
368;-1498;-73,663106607830755;7,986157538562727;-1498,9000244
369;-1540;-73,653425335645835;7,986157538562727;-1540,2265625
